Date,Description,Amount,Category,PaymentMethod,Month
08-07-2025,Nilgiris,1139.88,Grocery,UPI,July
03-08-2025,Gaana,342.63,Entertainment,Net Banking,August
15-08-2025,TSRTC,892.7,Transport,Credit Card,August
12-06-2025,Gaana,968.55,Entertainment,Net Banking,June
10-01-2025,Max Fashion,4490.07,Clothing,Net Banking,January
15-07-2025,Pizza Hut,1157.6,Food,UPI,July
07-12-2025,1mg,8764.35,Healthcare,Credit Card,December
26-01-2025,BMTC,1547.07,Transport,Net Banking,January
28-08-2025,Ajio,8146.38,Online Shopping,Net Banking,August
05-02-2025,Meru Cabs,1920.03,Transport,Credit Card,February
06-10-2025,Max Fashion,1721.41,Clothing,Credit Card,October
29-05-2025,Aster,14813.92,Healthcare,UPI,May
05-05-2025,ACT Fibernet,319.22,Bills,Debit Card,May
27-04-2025,Water Board,2338.4,Bills,UPI,April
02-09-2025,Vivo Store,61980.42,Electronics,Credit Card,September
23-02-2025,Ola,822.4,Transport,Debit Card,February
26-02-2025,YouTube Premium,184.47,Entertainment,Net Banking,February
08-10-2025,Aster,4255.27,Healthcare,Net Banking,October
14-11-2025,Pizza Hut,565.33,Food,UPI,November
04-11-2025,BSNL,448.88,Bills,UPI,November
17-02-2025,Apollo Pharmacy,18445.07,Healthcare,Net Banking,February
28-03-2025,Water Board,4260.5,Bills,Net Banking,March
16-04-2025,Chai Point,589.68,Food,Net Banking,April
01-07-2025,Booking.com,27712.34,Travel,Debit Card,July
23-06-2025,Nykaa,13376.26,Online Shopping,UPI,June
17-03-2025,1mg,1134.99,Healthcare,UPI,March
25-11-2025,CloudNine,12384.61,Healthcare,Credit Card,November
08-11-2025,Pantaloons,6929.7,Clothing,UPI,November
26-11-2025,Reliance Digital,130642.49,Electronics,UPI,November
25-06-2025,Apple Store,79777.72,Electronics,Net Banking,June
30-11-2025,MedPlus,3370.27,Healthcare,Net Banking,November
05-12-2025,Zee5,337.71,Entertainment,Credit Card,December
12-07-2025,Ajio,4838.78,Online Shopping,Net Banking,July
07-06-2025,AirAsia,5198.69,Travel,UPI,June
11-06-2025,Aha,837.72,Entertainment,Net Banking,June
18-05-2025,Vivo Store,77283.47,Electronics,UPI,May
28-04-2025,Asus Store,11685.73,Electronics,UPI,April
21-10-2025,TSRTC,1439.75,Transport,UPI,October
05-08-2025,Uber,1973.48,Transport,Net Banking,August
06-10-2025,Nike,4371.85,Clothing,Net Banking,October
02-03-2025,MedPlus,1402.49,Healthcare,UPI,March
28-10-2025,A2B,1243.48,Food,Credit Card,October
13-04-2025,Noise,113889.04,Electronics,Credit Card,April
20-06-2025,Ola,1257.63,Transport,UPI,June
30-01-2025,Zee5,933.54,Entertainment,Net Banking,January
08-02-2025,Starbucks,651.61,Food,Net Banking,February
09-08-2025,Fortis,10637.38,Healthcare,Debit Card,August
07-03-2025,Reliance Digital,18244.44,Electronics,Debit Card,March
18-08-2025,Ola,1887.66,Transport,UPI,August
15-12-2025,SonyLiv,145.96,Entertainment,Debit Card,December
31-03-2025,Booking.com,12967.17,Travel,Net Banking,March
29-06-2025,Sony Center,62817.88,Electronics,UPI,June
29-07-2025,Biba,4148.95,Clothing,Debit Card,July
30-04-2025,JioMart,2506.42,Grocery,UPI,April
15-11-2025,Rapido,228.04,Transport,UPI,November
03-11-2025,Amazon,3452.95,Online Shopping,Net Banking,November
06-02-2025,CCD,623.51,Food,Net Banking,February
25-07-2025,AirAsia,9974.99,Travel,UPI,July
30-08-2025,Reliance Fresh,1624.5,Grocery,Debit Card,August
11-10-2025,Pepperfry,14948.76,Online Shopping,UPI,October
04-11-2025,SonyLiv,685.67,Entertainment,Net Banking,November
06-03-2025,Reliance Digital,91984.49,Electronics,Debit Card,March
06-05-2025,Spencers,4302.88,Grocery,Debit Card,May
05-07-2025,Ajio,16992.09,Online Shopping,UPI,July
20-06-2025,PharmEasy,15524.65,Healthcare,UPI,June
27-08-2025,Air India,27984,Travel,Credit Card,August
25-08-2025,RedBus,1324.57,Transport,UPI,August
06-02-2025,Subway,1429.47,Food,Debit Card,February
08-09-2025,IndiGo,7841.59,Travel,Net Banking,September
13-12-2025,Woodland,7711.86,Clothing,Net Banking,December
06-05-2025,Ola,1376.98,Transport,Credit Card,May
04-02-2025,A2B,563.71,Food,Credit Card,February
02-11-2025,HP World,9965.75,Electronics,UPI,November
16-02-2025,Lenskart,2429.44,Online Shopping,Net Banking,February
29-12-2025,IndiGo,19630.5,Travel,Credit Card,December
25-06-2025,Cream Stone,832.44,Food,Debit Card,June
02-09-2025,RedBus,792.61,Transport,Net Banking,September
22-12-2025,Amazon,17765.64,Online Shopping,Debit Card,December
30-07-2025,Gaana,660.53,Entertainment,Net Banking,July
24-12-2025,Paradise Biryani,194.1,Food,Credit Card,December
08-06-2025,Allen Solly,6496.52,Clothing,UPI,June
08-12-2025,Zee5,669.09,Entertainment,UPI,December
12-04-2025,Taco Bell,126.15,Food,UPI,April
22-02-2025,IndiGo,2297.18,Travel,UPI,February
02-03-2025,US Polo,7251.49,Clothing,Credit Card,March
29-09-2025,Allen Solly,545.49,Clothing,Credit Card,September
08-01-2025,H&M,3749.25,Clothing,Credit Card,January
05-08-2025,Chai Point,981.12,Food,Net Banking,August
08-07-2025,Mi Store,89726.7,Electronics,UPI,July
09-03-2025,Nature's Basket,525.86,Grocery,Net Banking,March
14-02-2025,OnePlus,149197.11,Electronics,Debit Card,February
29-12-2025,Water Board,1766.65,Bills,UPI,December
25-10-2025,A2B,1268.04,Food,Credit Card,October
10-11-2025,Flipkart,15804.76,Online Shopping,Net Banking,November
22-12-2025,Tata Cliq,709.77,Online Shopping,Debit Card,December
13-06-2025,Subway,525.91,Food,Net Banking,June
07-09-2025,AirAsia,21491.65,Travel,UPI,September
12-11-2025,CloudNine,10150.1,Healthcare,UPI,November
06-11-2025,Property Tax Online,599.75,Bills,Credit Card,November
19-12-2025,Netflix,890.56,Entertainment,UPI,December
21-05-2025,Yatra,24867.56,Travel,UPI,May
11-07-2025,Wrogn,7653.49,Clothing,Net Banking,July
01-04-2025,A2B,1362.74,Food,Net Banking,April
06-01-2025,McDonalds,448.3,Food,UPI,January
30-08-2025,Biba,4150.21,Clothing,UPI,August
23-12-2025,Netflix,825.99,Entertainment,Debit Card,December
27-06-2025,Ajio,17939.67,Online Shopping,Debit Card,June
04-08-2025,Adidas,5732.02,Clothing,Net Banking,August
10-04-2025,Myntra,15843.46,Online Shopping,Net Banking,April
14-09-2025,Woodland,2849.03,Clothing,Credit Card,September
05-09-2025,Water Board,2133.83,Bills,Debit Card,September
25-09-2025,Burger King,586.87,Food,Debit Card,September
25-11-2025,Vivo Store,52603.38,Electronics,Credit Card,November
14-06-2025,Ajio,5364.84,Online Shopping,Credit Card,June
12-03-2025,Allen Solly,6585.16,Clothing,Net Banking,March
21-06-2025,Spencers,988.93,Grocery,UPI,June
30-04-2025,Reliance Fresh,4025.14,Grocery,Net Banking,April
02-01-2025,Dell Exclusive,6757.48,Electronics,Debit Card,January
25-08-2025,Apollo Hospital,9203.48,Healthcare,Debit Card,August
29-04-2025,Apollo Pharmacy,18768.49,Healthcare,Credit Card,April
17-11-2025,YouTube Premium,528.73,Entertainment,UPI,November
20-10-2025,Biba,5811.09,Clothing,Credit Card,October
21-03-2025,Adidas,729.05,Clothing,Debit Card,March
05-03-2025,Woodland,630.04,Clothing,Net Banking,March
09-09-2025,Vivo Store,137121.24,Electronics,Debit Card,September
07-05-2025,Tata Cliq,4770.36,Online Shopping,Net Banking,May
01-11-2025,OYO,26210.65,Travel,Credit Card,November
04-12-2025,BigBazaar,4900.87,Grocery,Net Banking,December
01-10-2025,Zee5,966.79,Entertainment,Credit Card,October
26-01-2025,AirAsia,17034.33,Travel,Net Banking,January
29-04-2025,HP World,79693.95,Electronics,Credit Card,April
04-01-2025,Woodland,2147.95,Clothing,Debit Card,January
26-12-2025,US Polo,6107.36,Clothing,Net Banking,December
01-02-2025,Spencers,912.56,Grocery,UPI,February
13-03-2025,Myntra,9111.71,Online Shopping,Debit Card,March
05-03-2025,YouTube Premium,285.78,Entertainment,Credit Card,March
02-09-2025,Reliance Fresh,2726.01,Grocery,Debit Card,September
18-11-2025,KFC,964,Food,Credit Card,November
06-12-2025,Netmeds,1708.26,Healthcare,Debit Card,December
20-11-2025,Star Bazaar,1546.82,Grocery,UPI,November
27-06-2025,Property Tax Online,748.22,Bills,Net Banking,June
10-10-2025,Air India,1636.45,Travel,Net Banking,October
17-04-2025,Property Tax Online,5176.22,Bills,UPI,April
11-11-2025,Pepperfry,1846.59,Online Shopping,Credit Card,November
18-01-2025,1mg,7689.79,Healthcare,Debit Card,January
27-11-2025,AirAsia,29257.87,Travel,Credit Card,November
03-08-2025,Aha,477.4,Entertainment,Net Banking,August
30-07-2025,Goibibo,22699.69,Travel,Net Banking,July
02-10-2025,Sony Center,72060.14,Electronics,Credit Card,October
16-02-2025,Pizza Hut,914.44,Food,Credit Card,February
07-09-2025,AirAsia,5134.83,Travel,Net Banking,September
24-06-2025,Pepperfry,17582.23,Online Shopping,Net Banking,June
08-11-2025,Zee5,669.21,Entertainment,Credit Card,November
08-06-2025,Max Fashion,6803.03,Clothing,Debit Card,June
23-07-2025,OYO,12058.28,Travel,Net Banking,July
18-10-2025,ACT Fibernet,3164.33,Bills,Debit Card,October
12-09-2025,CloudNine,3742.91,Healthcare,Debit Card,September
17-12-2025,TNEB,3166.76,Bills,Net Banking,December
07-03-2025,Vistara,16120.18,Travel,Credit Card,March
24-03-2025,Apple Music,492.05,Entertainment,Debit Card,March
29-01-2025,Yatra,23573.49,Travel,UPI,January
12-02-2025,TSRTC,947.12,Transport,Debit Card,February
03-04-2025,Nykaa,5859.4,Online Shopping,UPI,April
30-08-2025,Wrogn,7983.18,Clothing,Credit Card,August
25-02-2025,Puma,3787.78,Clothing,Debit Card,February
25-07-2025,IRCTC,28758.21,Travel,Net Banking,July
12-04-2025,Spencers,2669.17,Grocery,Debit Card,April
04-07-2025,Burger King,408.41,Food,UPI,July
16-06-2025,Meru Cabs,879.41,Transport,Debit Card,June
17-03-2025,H&M,6584.41,Clothing,Net Banking,March
21-01-2025,Metro Rail,1597.44,Transport,Net Banking,January
21-05-2025,Jio Fiber,4999.89,Bills,Credit Card,May
18-12-2025,Taco Bell,1362.75,Food,Debit Card,December
11-03-2025,Pepperfry,837.29,Online Shopping,Net Banking,March
03-08-2025,Yulu Bikes,333.48,Transport,Net Banking,August
20-10-2025,YouTube Premium,682,Entertainment,Net Banking,October
12-07-2025,YouTube Premium,146.61,Entertainment,Credit Card,July
26-12-2025,A2B,1259.95,Food,Net Banking,December
29-05-2025,Aha,261.96,Entertainment,Net Banking,May
25-03-2025,Ajio,3601.37,Online Shopping,Net Banking,March
08-01-2025,Aster,9106.46,Healthcare,UPI,January
18-04-2025,Fortis,17117,Healthcare,Debit Card,April
14-08-2025,AirAsia,1101.08,Travel,UPI,August
30-03-2025,Reliance Fresh,1778.71,Grocery,Credit Card,March
18-09-2025,1mg,11609.84,Healthcare,Credit Card,September
26-03-2025,PharmEasy,12366.48,Healthcare,UPI,March
09-05-2025,Dominos,800.74,Food,UPI,May
12-04-2025,Vivo Store,95547.02,Electronics,UPI,April
28-11-2025,PharmEasy,12148.28,Healthcare,UPI,November
18-04-2025,Dell Exclusive,9761.08,Electronics,Debit Card,April
16-07-2025,Croma,26401.86,Electronics,Debit Card,July
01-01-2025,Taco Bell,124.46,Food,Net Banking,January
07-12-2025,Flipkart,8903.7,Online Shopping,UPI,December
17-03-2025,CCD,239.53,Food,Debit Card,March
14-02-2025,HP World,45459.55,Electronics,Credit Card,February
03-12-2025,Apollo Hospital,16891.8,Healthcare,Net Banking,December
15-08-2025,Meesho,9092.74,Online Shopping,Credit Card,August
28-10-2025,Nilgiris,1794.99,Grocery,Debit Card,October
18-12-2025,Apollo Pharmacy,11275.49,Healthcare,UPI,December
23-06-2025,Netmeds,16640.54,Healthcare,Debit Card,June
05-04-2025,YouTube Premium,759.05,Entertainment,Net Banking,April
18-03-2025,Samsung Store,37027.33,Electronics,Debit Card,March
18-07-2025,BigBazaar,4407.24,Grocery,Debit Card,July
02-05-2025,Aha,829.26,Entertainment,UPI,May
11-01-2025,McDonalds,683.57,Food,UPI,January
04-06-2025,BSNL,4274.14,Bills,Net Banking,June
03-01-2025,Pantaloons,7445.37,Clothing,UPI,January
21-05-2025,IRCTC,20596.97,Travel,Debit Card,May
12-11-2025,YouTube Premium,575.9,Entertainment,Credit Card,November
14-04-2025,BMTC,544.17,Transport,Credit Card,April
14-02-2025,TSRTC,1476.65,Transport,Credit Card,February
07-08-2025,Vistara,10470.61,Travel,Debit Card,August
06-06-2025,Samsung Store,66239.46,Electronics,Net Banking,June
29-07-2025,Starbucks,626.89,Food,Net Banking,July
10-01-2025,Yulu Bikes,226.59,Transport,Debit Card,January
15-03-2025,Zee5,341.31,Entertainment,Net Banking,March
05-10-2025,CCD,291.79,Food,UPI,October
07-03-2025,Dell Exclusive,90972.17,Electronics,Debit Card,March
19-09-2025,BSNL,3557.11,Bills,Debit Card,September
22-11-2025,Allen Solly,7855.06,Clothing,Net Banking,November
10-03-2025,Max Fashion,4193.58,Clothing,Debit Card,March
03-08-2025,Hotstar,378.12,Entertainment,Credit Card,August
16-07-2025,Flipkart,15309.14,Online Shopping,UPI,July
14-12-2025,YouTube Premium,775.16,Entertainment,Net Banking,December
03-08-2025,Lenskart,7743.99,Online Shopping,UPI,August
30-07-2025,Nature's Basket,2601.82,Grocery,UPI,July
08-10-2025,Netflix,732.13,Entertainment,Credit Card,October
21-02-2025,Kauvery,14651.58,Healthcare,Net Banking,February
14-09-2025,Adidas,4632.67,Clothing,Net Banking,September
23-08-2025,More Supermarket,1046.02,Grocery,UPI,August
18-11-2025,Pizza Hut,586.05,Food,Credit Card,November
28-08-2025,Chai Point,993.01,Food,Net Banking,August
18-01-2025,Reliance Digital,98720.47,Electronics,UPI,January
08-01-2025,Apollo Pharmacy,15597.99,Healthcare,UPI,January
13-11-2025,ACT Fibernet,3667.24,Bills,Credit Card,November
13-03-2025,Yulu Bikes,1655.5,Transport,Debit Card,March
10-06-2025,Hotstar,830.47,Entertainment,Net Banking,June
19-09-2025,Adidas,5184.66,Clothing,Net Banking,September
20-07-2025,MedPlus,5770.71,Healthcare,Net Banking,July
28-10-2025,Snapdeal,16937.51,Online Shopping,Credit Card,October
04-03-2025,Vodafone Idea,4469.07,Bills,Credit Card,March
20-08-2025,Apollo Hospital,4069.84,Healthcare,Debit Card,August
13-08-2025,Air India,3259.32,Travel,Credit Card,August
01-04-2025,Pepperfry,4551.45,Online Shopping,Net Banking,April
02-03-2025,Reliance Digital,125285.33,Electronics,Debit Card,March
28-08-2025,JioMart,2140.18,Grocery,UPI,August
10-03-2025,Water Board,1171.01,Bills,Credit Card,March
26-12-2025,Spencers,4987.43,Grocery,Credit Card,December
02-07-2025,Yatra,614.88,Travel,UPI,July
01-03-2025,Croma,134562.78,Electronics,Net Banking,March
03-10-2025,Aha,828.41,Entertainment,Credit Card,October
27-09-2025,Vistara,21385.23,Travel,Credit Card,September
11-06-2025,Uber,1898.64,Transport,Credit Card,June
06-12-2025,Mi Store,12651.08,Electronics,Debit Card,December
26-08-2025,Biba,5571.58,Clothing,UPI,August
06-05-2025,PharmEasy,11866.49,Healthcare,Net Banking,May
18-09-2025,Reliance Fresh,3451.68,Grocery,UPI,September
07-07-2025,Adidas,2968.69,Clothing,Credit Card,July
12-07-2025,Subway,698.47,Food,Net Banking,July
15-01-2025,Myntra,12900.53,Online Shopping,UPI,January
29-05-2025,Property Tax Online,4085.79,Bills,Credit Card,May
07-09-2025,Snapdeal,12433.3,Online Shopping,UPI,September
05-05-2025,TNEB,3815.8,Bills,Debit Card,May
06-12-2025,Uber,1367.86,Transport,Net Banking,December
04-11-2025,Vistara,4938.58,Travel,Credit Card,November
14-11-2025,Woodland,3342.81,Clothing,Credit Card,November
25-01-2025,Meesho,13244.08,Online Shopping,UPI,January
31-12-2025,Kauvery,12259.08,Healthcare,UPI,December
23-02-2025,Apollo Hospital,10165.48,Healthcare,Credit Card,February
09-04-2025,IndiGo,16840.72,Travel,Credit Card,April
09-11-2025,Lenskart,19621.75,Online Shopping,Debit Card,November
02-11-2025,Apollo Pharmacy,17413.55,Healthcare,Debit Card,November
02-12-2025,Pepperfry,3996.44,Online Shopping,Credit Card,December
28-11-2025,DMart,4938.14,Grocery,Credit Card,November
26-08-2025,RedBus,1758.44,Transport,Net Banking,August
08-06-2025,BMTC,1484.81,Transport,Debit Card,June
22-10-2025,Booking.com,4103.82,Travel,Credit Card,October
02-05-2025,Pizza Hut,1051.71,Food,Credit Card,May
14-10-2025,TSRTC,1660.04,Transport,Debit Card,October
25-04-2025,RedBus,477.79,Transport,Debit Card,April
24-08-2025,OYO,4808.63,Travel,Credit Card,August
10-03-2025,RedBus,317.54,Transport,Debit Card,March
07-06-2025,Amazon Prime,115.61,Entertainment,UPI,June
19-02-2025,Ola,862.35,Transport,Credit Card,February
06-10-2025,Jio Fiber,532.56,Bills,Debit Card,October
19-08-2025,TNEB,780.34,Bills,Debit Card,August
09-07-2025,Ola,1043.35,Transport,UPI,July
16-02-2025,PharmEasy,12699.47,Healthcare,Net Banking,February
30-04-2025,Asus Store,67315.69,Electronics,Net Banking,April
01-02-2025,Nilgiris,1473.65,Grocery,UPI,February
16-08-2025,Jio Fiber,3338.08,Bills,Net Banking,August
18-08-2025,Tata Cliq,13071.67,Online Shopping,Net Banking,August
05-11-2025,Booking.com,15761.34,Travel,Debit Card,November
11-09-2025,A2B,1487.69,Food,UPI,September
23-01-2025,Goibibo,13599.09,Travel,UPI,January
20-07-2025,Mi Store,85154.28,Electronics,Credit Card,July
25-06-2025,Asus Store,22550.59,Electronics,Debit Card,June
07-08-2025,H&M,3787.79,Clothing,UPI,August
03-05-2025,Paradise Biryani,269.94,Food,UPI,May
15-09-2025,Sony Center,108546.07,Electronics,Debit Card,September
02-04-2025,Pizza Hut,1219.45,Food,Credit Card,April
15-03-2025,Zee5,424.28,Entertainment,Net Banking,March
31-08-2025,Cream Stone,656.16,Food,Debit Card,August
14-04-2025,IRCTC,27616.51,Travel,Net Banking,April
16-05-2025,ACT Fibernet,292.36,Bills,Credit Card,May
15-03-2025,Nykaa,677.2,Online Shopping,Net Banking,March
28-09-2025,Samsung Store,29016.44,Electronics,UPI,September
19-05-2025,Starbucks,1300.66,Food,UPI,May
30-07-2025,Biba,6796.93,Clothing,Debit Card,July
06-05-2025,Lenskart,14397.23,Online Shopping,Credit Card,May
05-10-2025,Snapdeal,12541.79,Online Shopping,Credit Card,October
19-11-2025,Nature's Basket,1625.7,Grocery,Net Banking,November
13-03-2025,Zee5,124.01,Entertainment,Net Banking,March
20-03-2025,Hotstar,507.41,Entertainment,Net Banking,March
18-04-2025,TNEB,3373.73,Bills,Debit Card,April
13-01-2025,Zara,3511.95,Clothing,UPI,January
17-10-2025,Snapdeal,10500.52,Online Shopping,UPI,October
12-05-2025,OnePlus,4646.46,Electronics,Credit Card,May
14-09-2025,Apollo Pharmacy,8840.97,Healthcare,UPI,September
29-06-2025,Tata Cliq,12847.46,Online Shopping,UPI,June
20-09-2025,Reliance Fresh,2591.55,Grocery,Net Banking,September
18-12-2025,Nilgiris,2470.34,Grocery,Credit Card,December
03-01-2025,Apple Store,140355.9,Electronics,Net Banking,January
08-06-2025,US Polo,3810.42,Clothing,Credit Card,June
26-06-2025,Pantaloons,5927.89,Clothing,Net Banking,June
20-06-2025,Yatra,27128.44,Travel,Net Banking,June
05-01-2025,Aha,563.83,Entertainment,Credit Card,January
17-08-2025,Booking.com,24786.87,Travel,UPI,August
22-03-2025,Vodafone Idea,4468.43,Bills,Debit Card,March
06-12-2025,Metro Rail,1592.39,Transport,Credit Card,December
27-09-2025,Noise,53467.25,Electronics,Net Banking,September
20-01-2025,Amazon Prime,672.14,Entertainment,Credit Card,January
03-04-2025,TSRTC,372.43,Transport,Debit Card,April
22-07-2025,Adidas,4964.27,Clothing,Debit Card,July
10-06-2025,Reliance Fresh,4680.79,Grocery,Credit Card,June
26-09-2025,Reliance Fresh,2222.84,Grocery,UPI,September
21-03-2025,Gaana,226.71,Entertainment,Credit Card,March
23-07-2025,Paradise Biryani,818.06,Food,Net Banking,July
08-09-2025,Nilgiris,1636.19,Grocery,Credit Card,September
16-03-2025,Croma,82995.77,Electronics,Net Banking,March
10-08-2025,Metro Rail,840.16,Transport,Credit Card,August
01-07-2025,Tata Cliq,16683.59,Online Shopping,Credit Card,July
20-08-2025,Flipkart,14058.43,Online Shopping,Net Banking,August
13-05-2025,Samsung Store,76876.53,Electronics,Credit Card,May
06-05-2025,Gas Agency,5865.08,Bills,Debit Card,May
25-02-2025,Rapido,991.44,Transport,Credit Card,February
06-11-2025,Star Bazaar,4684.39,Grocery,Credit Card,November
08-12-2025,Spotify,363.44,Entertainment,UPI,December
29-11-2025,Cream Stone,733.4,Food,Credit Card,November
14-12-2025,Barbeque Nation,784.8,Food,Credit Card,December
11-01-2025,Taco Bell,1197.89,Food,Debit Card,January
29-04-2025,More Supermarket,598.84,Grocery,Credit Card,April
17-02-2025,Meesho,17138.98,Online Shopping,UPI,February
10-01-2025,Goibibo,14308.69,Travel,UPI,January
19-03-2025,Barbeque Nation,776.36,Food,Net Banking,March
20-02-2025,TSRTC,493.69,Transport,UPI,February
16-11-2025,Puma,7927.64,Clothing,Debit Card,November
05-05-2025,Tata Cliq,2771.36,Online Shopping,Credit Card,May
04-09-2025,RedBus,130.13,Transport,Net Banking,September
13-07-2025,Booking.com,24788.87,Travel,Debit Card,July
12-05-2025,DMart,443.44,Grocery,UPI,May
20-10-2025,MedPlus,7505.77,Healthcare,Net Banking,October
12-06-2025,Puma,2854.41,Clothing,Credit Card,June
05-11-2025,Dell Exclusive,74104.53,Electronics,Net Banking,November
26-02-2025,ACT Fibernet,1949.16,Bills,Debit Card,February
31-10-2025,Aster,15902.96,Healthcare,Credit Card,October
04-10-2025,Flipkart,19540.87,Online Shopping,Net Banking,October
13-08-2025,McDonalds,390.33,Food,Debit Card,August
06-01-2025,Fortis,19019.41,Healthcare,Credit Card,January
14-07-2025,Air India,26944.64,Travel,UPI,July
10-12-2025,Airtel,393.89,Bills,Net Banking,December
18-10-2025,BSNL,2015.64,Bills,UPI,October
25-03-2025,Nature's Basket,1555.25,Grocery,UPI,March
03-11-2025,Kauvery,8696.86,Healthcare,Credit Card,November
11-06-2025,Tata Cliq,14782.03,Online Shopping,Credit Card,June
26-08-2025,Chai Point,1295.45,Food,Net Banking,August
06-10-2025,Airtel,5838.45,Bills,Net Banking,October
28-02-2025,Netflix,733.84,Entertainment,UPI,February
08-11-2025,Chai Point,1497.97,Food,UPI,November
