Date,Description,Amount,Category,PaymentMethod,Month,Year,Month_Number,Day,Weekday
2025-02-14,oneplus,149197.11,Electronics,Debit Card,February,2025,2,14,Friday
2025-12-29,water board,1766.65,Bills,UPI,December,2025,12,29,Monday
2025-10-25,a2b,1268.04,Food,Credit Card,October,2025,10,25,Saturday
2025-11-10,flipkart,15804.76,Online Shopping,Net Banking,November,2025,11,10,Monday
2025-12-22,tata cliq,709.77,Online Shopping,Debit Card,December,2025,12,22,Monday
2025-06-13,subway,525.91,Food,Net Banking,June,2025,6,13,Friday
2025-09-07,airasia,21491.65,Travel,UPI,September,2025,9,7,Sunday
2025-11-12,cloudnine,10150.1,Healthcare,UPI,November,2025,11,12,Wednesday
2025-11-06,property tax online,599.75,Bills,Credit Card,November,2025,11,6,Thursday
2025-12-19,netflix,890.56,Entertainment,UPI,December,2025,12,19,Friday
2025-05-21,yatra,24867.56,Travel,UPI,May,2025,5,21,Wednesday
2025-07-11,wrogn,7653.49,Clothing,Net Banking,July,2025,7,11,Friday
2025-04-01,a2b,1362.74,Food,Net Banking,April,2025,4,1,Tuesday
2025-01-06,mcdonalds,448.3,Food,UPI,January,2025,1,6,Monday
2025-08-30,biba,4150.21,Clothing,UPI,August,2025,8,30,Saturday
2025-12-23,netflix,825.99,Entertainment,Debit Card,December,2025,12,23,Tuesday
2025-06-27,ajio,17939.67,Online Shopping,Debit Card,June,2025,6,27,Friday
2025-08-04,adidas,5732.02,Clothing,Net Banking,August,2025,8,4,Monday
2025-04-10,myntra,15843.46,Online Shopping,Net Banking,April,2025,4,10,Thursday
2025-09-14,woodland,2849.03,Clothing,Credit Card,September,2025,9,14,Sunday
2025-09-05,water board,2133.83,Bills,Debit Card,September,2025,9,5,Friday
2025-09-25,burger king,586.87,Food,Debit Card,September,2025,9,25,Thursday
2025-11-25,vivo store,52603.38,Electronics,Credit Card,November,2025,11,25,Tuesday
2025-06-14,ajio,5364.84,Online Shopping,Credit Card,June,2025,6,14,Saturday
2025-03-12,allen solly,6585.16,Clothing,Net Banking,March,2025,3,12,Wednesday
2025-06-21,spencers,988.93,Grocery,UPI,June,2025,6,21,Saturday
2025-04-30,reliance fresh,4025.14,Grocery,Net Banking,April,2025,4,30,Wednesday
2025-01-02,dell exclusive,6757.48,Electronics,Debit Card,January,2025,1,2,Thursday
2025-08-25,apollo hospital,9203.48,Healthcare,Debit Card,August,2025,8,25,Monday
2025-04-29,apollo pharmacy,18768.49,Healthcare,Credit Card,April,2025,4,29,Tuesday
2025-11-17,youtube premium,528.73,Entertainment,UPI,November,2025,11,17,Monday
2025-10-20,biba,5811.09,Clothing,Credit Card,October,2025,10,20,Monday
2025-03-21,adidas,729.05,Clothing,Debit Card,March,2025,3,21,Friday
2025-03-05,woodland,630.04,Clothing,Net Banking,March,2025,3,5,Wednesday
2025-09-09,vivo store,137121.24,Electronics,Debit Card,September,2025,9,9,Tuesday
2025-05-07,tata cliq,4770.36,Online Shopping,Net Banking,May,2025,5,7,Wednesday
2025-11-01,oyo,26210.65,Travel,Credit Card,November,2025,11,1,Saturday
2025-12-04,bigbazaar,4900.87,Grocery,Net Banking,December,2025,12,4,Thursday
2025-10-01,zee5,966.79,Entertainment,Credit Card,October,2025,10,1,Wednesday
2025-01-26,airasia,17034.33,Travel,Net Banking,January,2025,1,26,Sunday
2025-04-29,hp world,79693.95,Electronics,Credit Card,April,2025,4,29,Tuesday
2025-01-04,woodland,2147.95,Clothing,Debit Card,January,2025,1,4,Saturday
2025-12-26,us polo,6107.36,Clothing,Net Banking,December,2025,12,26,Friday
2025-02-01,spencers,912.56,Grocery,UPI,February,2025,2,1,Saturday
2025-03-13,myntra,9111.71,Online Shopping,Debit Card,March,2025,3,13,Thursday
2025-03-05,youtube premium,285.78,Entertainment,Credit Card,March,2025,3,5,Wednesday
2025-09-02,reliance fresh,2726.01,Grocery,Debit Card,September,2025,9,2,Tuesday
2025-11-18,kfc,964.0,Food,Credit Card,November,2025,11,18,Tuesday
2025-12-06,netmeds,1708.26,Healthcare,Debit Card,December,2025,12,6,Saturday
2025-11-20,star bazaar,1546.82,Grocery,UPI,November,2025,11,20,Thursday
2025-06-27,property tax online,748.22,Bills,Net Banking,June,2025,6,27,Friday
2025-10-10,air india,1636.45,Travel,Net Banking,October,2025,10,10,Friday
2025-04-17,property tax online,5176.22,Bills,UPI,April,2025,4,17,Thursday
2025-11-11,pepperfry,1846.59,Online Shopping,Credit Card,November,2025,11,11,Tuesday
2025-01-18,1mg,7689.79,Healthcare,Debit Card,January,2025,1,18,Saturday
2025-11-27,airasia,29257.87,Travel,Credit Card,November,2025,11,27,Thursday
2025-08-03,aha,477.4,Entertainment,Net Banking,August,2025,8,3,Sunday
2025-07-30,goibibo,22699.69,Travel,Net Banking,July,2025,7,30,Wednesday
2025-10-02,sony center,72060.14,Electronics,Credit Card,October,2025,10,2,Thursday
2025-02-16,pizza hut,914.44,Food,Credit Card,February,2025,2,16,Sunday
2025-09-07,airasia,5134.83,Travel,Net Banking,September,2025,9,7,Sunday
2025-06-24,pepperfry,17582.23,Online Shopping,Net Banking,June,2025,6,24,Tuesday
2025-11-08,zee5,669.21,Entertainment,Credit Card,November,2025,11,8,Saturday
2025-06-08,max fashion,6803.03,Clothing,Debit Card,June,2025,6,8,Sunday
2025-07-23,oyo,12058.28,Travel,Net Banking,July,2025,7,23,Wednesday
2025-10-18,act fibernet,3164.33,Bills,Debit Card,October,2025,10,18,Saturday
2025-09-12,cloudnine,3742.91,Healthcare,Debit Card,September,2025,9,12,Friday
2025-12-17,tneb,3166.76,Bills,Net Banking,December,2025,12,17,Wednesday
2025-03-07,vistara,16120.18,Travel,Credit Card,March,2025,3,7,Friday
2025-03-24,apple music,492.05,Entertainment,Debit Card,March,2025,3,24,Monday
2025-01-29,yatra,23573.49,Travel,UPI,January,2025,1,29,Wednesday
2025-02-12,tsrtc,947.12,Transport,Debit Card,February,2025,2,12,Wednesday
2025-04-03,nykaa,5859.4,Online Shopping,UPI,April,2025,4,3,Thursday
2025-08-30,wrogn,7983.18,Clothing,Credit Card,August,2025,8,30,Saturday
2025-02-25,puma,3787.78,Clothing,Debit Card,February,2025,2,25,Tuesday
2025-07-25,irctc,28758.21,Travel,Net Banking,July,2025,7,25,Friday
2025-04-12,spencers,2669.17,Grocery,Debit Card,April,2025,4,12,Saturday
2025-07-04,burger king,408.41,Food,UPI,July,2025,7,4,Friday
2025-06-16,meru cabs,879.41,Transport,Debit Card,June,2025,6,16,Monday
2025-03-17,h&m,6584.41,Clothing,Net Banking,March,2025,3,17,Monday
2025-01-21,metro rail,1597.44,Transport,Net Banking,January,2025,1,21,Tuesday
2025-05-21,jio fiber,4999.89,Bills,Credit Card,May,2025,5,21,Wednesday
2025-12-18,taco bell,1362.75,Food,Debit Card,December,2025,12,18,Thursday
2025-03-11,pepperfry,837.29,Online Shopping,Net Banking,March,2025,3,11,Tuesday
2025-08-03,yulu bikes,333.48,Transport,Net Banking,August,2025,8,3,Sunday
2025-10-20,youtube premium,682.0,Entertainment,Net Banking,October,2025,10,20,Monday
2025-07-12,youtube premium,146.61,Entertainment,Credit Card,July,2025,7,12,Saturday
2025-12-26,a2b,1259.95,Food,Net Banking,December,2025,12,26,Friday
2025-05-29,aha,261.96,Entertainment,Net Banking,May,2025,5,29,Thursday
2025-03-25,ajio,3601.37,Online Shopping,Net Banking,March,2025,3,25,Tuesday
2025-01-08,aster,9106.46,Healthcare,UPI,January,2025,1,8,Wednesday
2025-04-18,fortis,17117.0,Healthcare,Debit Card,April,2025,4,18,Friday
2025-08-14,airasia,1101.08,Travel,UPI,August,2025,8,14,Thursday
2025-03-30,reliance fresh,1778.71,Grocery,Credit Card,March,2025,3,30,Sunday
2025-09-18,1mg,11609.84,Healthcare,Credit Card,September,2025,9,18,Thursday
2025-03-26,pharmeasy,12366.48,Healthcare,UPI,March,2025,3,26,Wednesday
2025-05-09,dominos,800.74,Food,UPI,May,2025,5,9,Friday
2025-04-12,vivo store,95547.02,Electronics,UPI,April,2025,4,12,Saturday
2025-11-28,pharmeasy,12148.28,Healthcare,UPI,November,2025,11,28,Friday
2025-04-18,dell exclusive,9761.08,Electronics,Debit Card,April,2025,4,18,Friday
2025-07-16,croma,26401.86,Electronics,Debit Card,July,2025,7,16,Wednesday
2025-01-01,taco bell,124.46,Food,Net Banking,January,2025,1,1,Wednesday
2025-12-07,flipkart,8903.7,Online Shopping,UPI,December,2025,12,7,Sunday
2025-03-17,ccd,239.53,Food,Debit Card,March,2025,3,17,Monday
2025-02-14,hp world,45459.55,Electronics,Credit Card,February,2025,2,14,Friday
2025-12-03,apollo hospital,16891.8,Healthcare,Net Banking,December,2025,12,3,Wednesday
2025-08-15,meesho,9092.74,Online Shopping,Credit Card,August,2025,8,15,Friday
2025-10-28,nilgiris,1794.99,Grocery,Debit Card,October,2025,10,28,Tuesday
2025-12-18,apollo pharmacy,11275.49,Healthcare,UPI,December,2025,12,18,Thursday
2025-06-23,netmeds,16640.54,Healthcare,Debit Card,June,2025,6,23,Monday
2025-04-05,youtube premium,759.05,Entertainment,Net Banking,April,2025,4,5,Saturday
2025-03-18,samsung store,37027.33,Electronics,Debit Card,March,2025,3,18,Tuesday
2025-07-18,bigbazaar,4407.24,Grocery,Debit Card,July,2025,7,18,Friday
2025-05-02,aha,829.26,Entertainment,UPI,May,2025,5,2,Friday
2025-01-11,mcdonalds,683.57,Food,UPI,January,2025,1,11,Saturday
2025-06-04,bsnl,4274.14,Bills,Net Banking,June,2025,6,4,Wednesday
2025-01-03,pantaloons,7445.37,Clothing,UPI,January,2025,1,3,Friday
2025-05-21,irctc,20596.97,Travel,Debit Card,May,2025,5,21,Wednesday
2025-11-12,youtube premium,575.9,Entertainment,Credit Card,November,2025,11,12,Wednesday
2025-04-14,bmtc,544.17,Transport,Credit Card,April,2025,4,14,Monday
2025-02-14,tsrtc,1476.65,Transport,Credit Card,February,2025,2,14,Friday
2025-08-07,vistara,10470.61,Travel,Debit Card,August,2025,8,7,Thursday
2025-06-06,samsung store,66239.46,Electronics,Net Banking,June,2025,6,6,Friday
2025-07-29,starbucks,626.89,Food,Net Banking,July,2025,7,29,Tuesday
2025-01-10,yulu bikes,226.59,Transport,Debit Card,January,2025,1,10,Friday
2025-03-15,zee5,341.31,Entertainment,Net Banking,March,2025,3,15,Saturday
2025-10-05,ccd,291.79,Food,UPI,October,2025,10,5,Sunday
2025-03-07,dell exclusive,90972.17,Electronics,Debit Card,March,2025,3,7,Friday
2025-09-19,bsnl,3557.11,Bills,Debit Card,September,2025,9,19,Friday
2025-11-22,allen solly,7855.06,Clothing,Net Banking,November,2025,11,22,Saturday
2025-03-10,max fashion,4193.58,Clothing,Debit Card,March,2025,3,10,Monday
2025-08-03,hotstar,378.12,Entertainment,Credit Card,August,2025,8,3,Sunday
2025-07-16,flipkart,15309.14,Online Shopping,UPI,July,2025,7,16,Wednesday
2025-12-14,youtube premium,775.16,Entertainment,Net Banking,December,2025,12,14,Sunday
2025-08-03,lenskart,7743.99,Online Shopping,UPI,August,2025,8,3,Sunday
2025-07-30,nature's basket,2601.82,Grocery,UPI,July,2025,7,30,Wednesday
2025-10-08,netflix,732.13,Entertainment,Credit Card,October,2025,10,8,Wednesday
2025-02-21,kauvery,14651.58,Healthcare,Net Banking,February,2025,2,21,Friday
2025-09-14,adidas,4632.67,Clothing,Net Banking,September,2025,9,14,Sunday
2025-08-23,more supermarket,1046.02,Grocery,UPI,August,2025,8,23,Saturday
2025-11-18,pizza hut,586.05,Food,Credit Card,November,2025,11,18,Tuesday
2025-08-28,chai point,993.01,Food,Net Banking,August,2025,8,28,Thursday
2025-01-18,reliance digital,98720.47,Electronics,UPI,January,2025,1,18,Saturday
2025-01-08,apollo pharmacy,15597.99,Healthcare,UPI,January,2025,1,8,Wednesday
2025-11-13,act fibernet,3667.24,Bills,Credit Card,November,2025,11,13,Thursday
2025-03-13,yulu bikes,1655.5,Transport,Debit Card,March,2025,3,13,Thursday
2025-06-10,hotstar,830.47,Entertainment,Net Banking,June,2025,6,10,Tuesday
2025-09-19,adidas,5184.66,Clothing,Net Banking,September,2025,9,19,Friday
2025-07-20,medplus,5770.71,Healthcare,Net Banking,July,2025,7,20,Sunday
2025-10-28,snapdeal,16937.51,Online Shopping,Credit Card,October,2025,10,28,Tuesday
2025-03-04,vodafone idea,4469.07,Bills,Credit Card,March,2025,3,4,Tuesday
2025-08-20,apollo hospital,4069.84,Healthcare,Debit Card,August,2025,8,20,Wednesday
2025-08-13,air india,3259.32,Travel,Credit Card,August,2025,8,13,Wednesday
2025-04-01,pepperfry,4551.45,Online Shopping,Net Banking,April,2025,4,1,Tuesday
2025-03-02,reliance digital,125285.33,Electronics,Debit Card,March,2025,3,2,Sunday
2025-08-28,jiomart,2140.18,Grocery,UPI,August,2025,8,28,Thursday
2025-03-10,water board,1171.01,Bills,Credit Card,March,2025,3,10,Monday
2025-12-26,spencers,4987.43,Grocery,Credit Card,December,2025,12,26,Friday
2025-07-02,yatra,614.88,Travel,UPI,July,2025,7,2,Wednesday
2025-03-01,croma,134562.78,Electronics,Net Banking,March,2025,3,1,Saturday
2025-10-03,aha,828.41,Entertainment,Credit Card,October,2025,10,3,Friday
2025-09-27,vistara,21385.23,Travel,Credit Card,September,2025,9,27,Saturday
2025-06-11,uber,1898.64,Transport,Credit Card,June,2025,6,11,Wednesday
2025-12-06,mi store,12651.08,Electronics,Debit Card,December,2025,12,6,Saturday
2025-08-26,biba,5571.58,Clothing,UPI,August,2025,8,26,Tuesday
2025-05-06,pharmeasy,11866.49,Healthcare,Net Banking,May,2025,5,6,Tuesday
2025-09-18,reliance fresh,3451.68,Grocery,UPI,September,2025,9,18,Thursday
